source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,865,0.85,0.0119,0.9253,0.8979,665076.97,5027365.13,2081.67,0,0.010663,7.070612,Luvisols,6.183,339.5,1,106.7,0.8737,0.07288,0.21393,0.03965,0.01854,0.02999
thr85_all,866,0.85,0.0106,0.8947,0.8756,695231.62,5027355.15,455.93,0,0.009303,5.479554,Gleysols,6.321,170.3,3,92.5,0.8782,-0.02624,0.20869,0.10418,0.0313,0.06152
thr85_all,867,0.85,0.0156,0.8756,0.8626,688664.5,5027274.5,194.96,0,0.013479,4.621316,Cambisols,1.055,135.7,2,87.5,0.8677,0.13452,0.04841,0.12524,0.02525,0.03557
thr85_all,868,0.85,0.0531,0.9249,0.9099,556824.85,5027138.09,10972.4,0,0.048337,8.604492,Cambisols,12.398,214.2,1,374.3,0.9141,0.07379,0.22892,0.12214,0.00982,-0.01933
thr85_all,869,0.85,0.0231,0.8756,0.862,682849.66,5027219.26,2639.34,0,0.019935,6.898282,Cambisols,-1.208,84.4,2,82.9,0.859,0.16433,-0.01365,0.1296,0.03663,0.04333
thr85_all,870,0.85,0.0338,0.9163,0.8802,695580.56,5027123.61,496.88,0,0.029706,5.690712,Cambisols,2.197,175.2,3,89.1,0.8957,0.14553,0.07619,0.10967,0.04537,0.02023
thr85_all,871,0.85,0.0606,0.915,0.897,557381.06,5027031.83,10521.96,0,0.054383,8.474559,Cambisols,15.578,286.9,1,450.5,0.9113,0.06906,0.22856,0.1171,0.01171,-0.01387
thr85_all,872,0.85,0.0119,0.8754,0.8604,657915.13,5027184.87,2261.92,0,0.010217,6.76176,Cambisols,1.05,185.0,1,102.0,0.8585,0.1296,0.06724,0.13246,0.01865,0.0118
thr85_all,873,0.85,0.0125,0.8698,0.8613,682347.5,5027080.0,2403.31,0,0.010766,6.771147,Cambisols,-1.338,61.4,2,83.1,0.8733,0.176,-0.00835,0.12245,0.04058,0.04386
thr85_all,874,0.85,0.0144,0.8743,0.8607,688411.41,5027153.8,299.55,0,0.012373,4.988495,Cambisols,-1.346,73.3,2,83.1,0.8739,0.16484,-0.00665,0.1347,0.03689,0.04541
