source,cluster_id,threshold,centroid_x,centroid_y,area_km2,prob_max,prob_mean,dist_to_known_m,n_known_inside,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,attr_type,pc1,pc2,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,592,0.85,609980.5,5041952.5,0.0156,0.8786,0.8638,8179.26,0,Cambisols,14.116,661.1,1,238.8,2,1.3648336292722598,-0.35012069200442203,0.06561,0.25662,0.05561,0.0102,-0.01313
thr85_all,593,0.85,579297.28,5041907.07,0.0144,0.8664,0.8607,6475.37,0,Cambisols,14.393,610.4,1,521.6,2,1.4915814534235365,-0.6471837812702548,0.05997,0.25456,0.05935,0.00896,-0.02237
thr85_all,594,0.85,602945.23,5041734.8,0.0869,0.915,0.905,8184.6,0,Cambisols,14.006,241.7,1,434.5,0,0.42562885333197825,-1.4468341190937648,0.06881,0.2282,0.12321,0.0107,-0.02225
thr85_all,595,0.85,581707.89,5041647.86,0.095,0.915,0.9043,4847.79,0,Cambisols,17.178,250.3,1,434.0,0,0.5017596320442834,-1.3436836470235336,0.06911,0.22935,0.11545,0.0112,-0.02195
thr85_all,596,0.85,582804.31,5041670.69,0.0362,0.8664,0.8617,4496.67,0,Cambisols,18.12,629.5,1,466.7,2,1.4266415841302313,-0.6274932891503048,0.06272,0.25272,0.05969,0.00899,-0.02143
thr85_all,597,0.85,582386.52,5041609.56,0.0319,0.915,0.8945,4553.19,0,Cambisols,16.985,301.7,1,419.6,0,0.4240315596136392,-1.130132047938559,0.06824,0.23216,0.11719,0.01232,-0.0136
thr85_all,598,0.85,603891.43,5041404.32,0.0994,0.8664,0.8613,7806.58,0,Cambisols,25.955,620.8,1,483.0,2,1.4243184596866316,-0.6284506613952565,0.06276,0.2526,0.05977,0.00899,-0.02143
thr85_all,599,0.85,610511.18,5041592.76,0.0238,0.8786,0.872,7721.65,0,Cambisols,14.708,625.5,1,242.4,2,1.320755129550686,-0.1889870616344912,0.06657,0.25295,0.05435,0.00934,-0.0083
thr85_all,600,0.85,602119.06,5041471.11,0.0381,0.915,0.9007,8056.55,0,Cambisols,14.262,273.6,1,442.3,0,0.41764940859167704,-1.3190780127375399,0.06894,0.23003,0.12078,0.0115,-0.01871
thr85_all,601,0.85,601673.86,5041398.3,0.0275,0.8664,0.8624,8092.4,0,Cambisols,16.469,631.3,1,497.9,2,1.4274438058424535,-0.6262867326016254,0.06286,0.25279,0.0595,0.00899,-0.02146
thr85_all,602,0.85,603346.88,5041300.69,0.045,0.915,0.8974,7717.73,0,Cambisols,19.706,298.3,1,423.9,0,0.4242493813323392,-1.1494616003197806,0.06887,0.23209,0.11761,0.01186,-0.01411
thr85_all,603,0.85,582081.4,5041182.62,0.0256,0.915,0.8988,4267.59,0,Cambisols,15.261,288.5,1,402.2,0,0.4391646998738118,-1.220577666035322,0.06852,0.23074,0.1182,0.01152,-0.01643
thr85_all,604,0.85,602571.09,5041039.26,0.08,0.9241,0.9039,7546.74,0,Cambisols,23.706,266.3,1,407.8,0,0.4500963674080991,-1.319113822890844,0.07043,0.23064,0.118,0.01107,-0.01987
thr85_all,605,0.85,601806.0,5040870.0,0.0312,0.8664,0.8617,7548.01,0,Cambisols,26.213,625.0,1,480.3,2,1.4266415841302313,-0.6274932891503048,0.06272,0.25272,0.05969,0.00899,-0.02143
thr85_all,606,0.85,582264.42,5040868.91,0.0244,0.8664,0.8624,3906.48,0,Cambisols,16.384,645.9,1,460.0,2,1.3895716894688712,-0.6874974041760115,0.0633,0.25455,0.06216,0.00987,-0.0222
thr85_all,607,0.85,602395.24,5040642.26,0.0262,0.8614,0.8581,7188.59,0,Cambisols,22.802,628.9,1,429.6,2,1.540068582898336,-0.7489191066268861,0.06092,0.256,0.05859,0.00836,-0.02619
thr85_all,608,0.85,581957.24,5040649.34,0.0119,0.8664,0.8622,3847.59,0,Cambisols,14.06,669.1,1,451.6,2,1.395045501411874,-0.7095082924039279,0.06317,0.255,0.06239,0.00996,-0.02284
thr85_all,609,0.85,627394.67,5040276.85,0.0719,0.8847,0.8688,614.23,0,Luvisols,9.441,401.5,2,146.4,4,1.2988356704820423,1.1496410081402704,0.04008,0.24559,0.0382,0.01946,0.03036
thr85_all,610,0.85,624061.83,5039938.5,0.0469,0.8812,0.865,2219.1,0,Luvisols,6.756,609.7,2,155.1,4,0.7677602774982156,1.5497747415889467,0.06071,0.22086,0.03361,0.01989,0.04264
thr85_all,611,0.85,621039.06,5039990.62,0.01,0.8896,0.8691,2367.61,0,Luvisols,6.752,247.0,1,152.6,4,0.8004894426972351,0.889591161524474,0.04839,0.21201,0.0732,0.00724,0.03431
thr85_all,612,0.85,653249.48,5039823.96,0.03,0.9071,0.8851,2463.75,0,Luvisols,6.87,568.5,3,106.2,4,0.8071215788233794,0.9130449098565355,0.06402,0.24408,0.03918,0.02656,0.02503
thr85_all,613,0.85,620592.31,5039775.96,0.0488,0.8932,0.8724,2633.76,0,Luvisols,9.632,236.6,1,172.0,2,1.5071290634949637,-0.5131096879084092,0.03496,0.26367,0.088,0.00774,-0.0066
thr85_all,614,0.85,612504.81,5039786.54,0.0163,0.9273,0.9026,6364.73,0,Cambisols,10.891,270.1,1,280.4,0,0.3682302563065482,-0.9357662282142729,0.07214,0.22405,0.11122,0.01132,-0.00968
thr85_all,615,0.85,591086.41,5039771.2,0.0144,0.8664,0.8626,5103.4,0,Cambisols,12.07,634.8,1,588.3,2,1.4690913530848193,-0.6872269184748602,0.06254,0.25531,0.05948,0.00887,-0.02352
thr85_all,616,0.85,611493.75,5039745.54,0.0175,0.9223,0.8941,7189.01,0,Cambisols,14.17,320.1,1,312.2,0,0.4746074596089946,-0.876092732503266,0.07074,0.23834,0.11026,0.01173,-0.00754
thr85_all,617,0.85,591791.07,5039511.99,0.0306,0.8664,0.8623,5280.49,0,Cambisols,16.645,637.8,1,523.5,2,1.4587592689847544,-0.671580900117724,0.06262,0.25469,0.05946,0.00891,-0.023
thr85_all,618,0.85,623567.11,5039537.5,0.0238,0.8809,0.8623,2792.38,0,Luvisols,8.848,452.7,2,160.1,2,1.4265282274991673,0.34385311089498216,0.04718,0.25364,0.04399,0.01755,0.00551
thr85_all,619,0.85,622592.65,5039555.88,0.0213,0.8772,0.8669,3166.06,0,Luvisols,7.311,258.9,1,148.0,4,1.1769659496334246,0.9945729385957028,0.04057,0.21762,0.05769,0.00626,0.03073
thr85_all,620,0.85,559902.5,5039457.5,0.0438,0.9273,0.9057,20836.34,0,Cambisols,15.145,299.1,1,244.1,0,0.2702894526562459,-0.6082774342117176,0.07262,0.22922,0.11192,0.01245,0.00233
thr85_all,621,0.85,625481.82,5039510.23,0.0275,0.8965,0.8721,1075.96,0,Luvisols,8.081,286.9,1,156.5,4,1.3218932136969914,0.7391022093726128,0.03789,0.2443,0.06551,0.00762,0.02632
thr85_all,622,0.85,611925.0,5039452.84,0.0275,0.9185,0.8943,6668.83,0,Cambisols,14.303,310.6,1,332.6,0,0.5300957921779945,-0.980472405364726,0.06821,0.23868,0.11072,0.012,-0.01106
thr85_all,623,0.85,612406.99,5039365.89,0.0369,0.8736,0.8605,6211.56,0,Cambisols,15.352,624.7,1,337.6,2,1.5760180672147244,-0.6523549011346882,0.06112,0.25865,0.05613,0.00789,-0.02388
